# timestamp,mag_x,mag_y,mag_z
1531207357272,-29.9375,6.625,9.75
1531207357282,-30.0625,6.625,10.1875
1531207357292,-30.375,6.9375,10.0
1531207357302,-30.375,6.9375,10.3125
1531207357312,-30.25,6.8125,9.875
1531207357322,-30.1875,6.625,10.1875
1531207357332,-30.5,6.375,9.875
1531207357342,-30.5,6.5,9.75
1531207357352,-30.25,6.625,9.4375
1531207357362,-30.5,6.8125,9.3125
1531207357372,-30.5,6.625,9.0
1531207357382,-30.125,7.0625,9.0
1531207357392,-30.0625,7.0625,9.3125
1531207357402,-30.375,6.8125,9.3125
1531207357412,-30.5,6.8125,9.4375
1531207357422,-30.5,7.0625,9.4375
1531207357432,-30.625,7.125,9.5625
1531207357442,-30.5,7.0625,9.4375
1531207357452,-30.375,6.9375,9.4375
1531207357467,-30.25,7.0625,9.875
1531207357472,-30.0625,7.0625,10.1875
1531207357482,-29.8125,6.75,10.0625
1531207357492,-29.9375,7.0625,10.3125
1531207357502,-30.25,7.375,10.3125
1531207357512,-30.375,7.375,9.75
1531207357522,-30.5,7.25,9.75
1531207357532,-30.6875,7.5625,9.75
1531207357542,-30.8125,7.375,9.5625
1531207357552,-30.5,7.5625,9.75
1531207357562,-30.375,7.5625,10.1875
1531207357572,-30.375,7.6875,10.0
1531207357582,-30.375,7.6875,10.1875
1531207357592,-29.9375,7.8125,10.1875
1531207357602,-30.25,7.8125,10.3125
1531207357612,-30.25,8.125,10.0
1531207357622,-30.125,8.4375,10.0
1531207357632,-30.5625,8.75,10.1875
1531207357642,-30.8125,8.5625,10.3125
1531207357652,-30.5625,8.5625,10.625
1531207357662,-30.6875,8.4375,10.625
1531207357672,-30.8125,8.0,10.9375
1531207357682,-30.5,7.8125,10.625
1531207357692,-30.5625,8.125,10.5
1531207357702,-30.6875,7.8125,9.875
1531207357712,-30.5,7.5625,9.875
1531207357722,-30.375,7.5625,9.5625
1531207357732,-30.5,7.375,9.75
1531207357742,-30.5,7.375,9.875
1531207357752,-30.5,7.6875,10.1875
1531207357762,-30.6875,7.8125,10.3125
1531207357772,-30.9375,8.3125,10.5
1531207357782,-30.5625,8.75,10.3125
1531207357792,-30.375,8.3125,10.5
1531207357802,-30.25,8.0,10.3125
1531207357812,-30.125,7.8125,10.3125
1531207357822,-29.9375,7.0625,10.625
1531207357832,-30.1875,6.5,10.9375
1531207357842,-30.375,6.5,10.75
1531207357852,-30.625,6.8125,11.0625
1531207357862,-30.75,6.8125,11.25
1531207357872,-30.9375,7.25,11.375
1531207357882,-30.9375,7.375,11.375
1531207357892,-30.8125,7.0625,11.6875
1531207357902,-30.9375,6.8125,11.6875
1531207357912,-30.9375,6.9375,12.0
1531207357922,-30.5,6.625,12.125
1531207357932,-30.5,6.625,12.125
1531207357942,-30.75,6.9375,12.125
1531207357952,-30.375,6.8125,12.125
1531207357962,-30.1875,6.3125,12.25
1531207357972,-30.5,6.625,12.125
1531207357982,-30.3125,6.5,12.4375
1531207357992,-30.1875,6.3125,12.75
1531207358002,-30.625,6.5,12.5625
1531207358012,-30.625,6.8125,12.125
1531207358022,-30.75,6.375,12.125
1531207358032,-31.1875,5.9375,12.0
1531207358042,-31.0625,6.375,11.6875
1531207358052,-31.0625,6.375,11.8125
1531207358062,-31.0625,6.1875,12.125
1531207358072,-31.1875,6.375,12.125
1531207358082,-31.1875,6.625,12.4375
1531207358092,-31.3125,5.9375,12.4375
1531207358102,-31.1875,5.625,12.5625
1531207358112,-31.0,5.4375,12.5625
1531207358122,-30.875,5.625,12.875
1531207358132,-30.75,5.3125,12.75
1531207358142,-30.75,5.3125,12.875
1531207358152,-30.3125,5.125,12.875
1531207358162,-30.625,5.3125,13.0
1531207358172,-30.875,4.5625,13.0
1531207358182,-30.875,4.5625,13.0
1531207358192,-31.25,4.4375,13.0
1531207358202,-31.6875,4.4375,13.1875
1531207358212,-31.5625,4.4375,13.0
1531207358222,-31.125,5.1875,12.75
1531207358233,-30.875,5.125,13.0
1531207358242,-31.0,5.125,13.0
1531207358252,-31.3125,5.3125,13.1875
1531207358262,-31.4375,5.0,13.3125
1531207358272,-31.5625,4.5625,13.75
1531207358282,-32.125,4.875,13.75
1531207358292,-31.6875,5.0,13.625
1531207358302,-31.3125,5.1875,13.3125
1531207358312,-31.3125,5.1875,13.1875
1531207358322,-31.4375,5.0,12.875
1531207358332,-31.125,5.0,12.5625
1531207358342,-31.125,5.1875,12.875
1531207358352,-31.4375,5.1875,12.875
1531207358363,-31.0,5.125,12.875
1531207358372,-30.625,5.75,12.75
1531207358382,-30.625,5.75,12.75
1531207358392,-30.5,6.0625,12.4375
1531207358402,-30.3125,6.1875,12.875
1531207358412,-31.1875,6.375,13.0
1531207358422,-31.4375,5.9375,13.1875
1531207358432,-31.4375,5.3125,13.0
1531207358442,-31.4375,4.875,12.875
1531207358452,-31.3125,4.5625,12.4375
1531207358462,-31.0,4.4375,12.125
1531207358472,-30.875,4.6875,12.0
1531207358482,-31.0,5.3125,12.4375
1531207358492,-31.3125,5.3125,12.25
1531207358502,-31.4375,5.3125,11.8125
1531207358512,-31.3125,5.625,11.8125
1531207358522,-31.4375,5.625,11.8125
1531207358532,-31.1875,5.3125,11.25
1531207358542,-30.75,5.3125,11.6875
1531207358552,-30.75,5.4375,12.0
1531207358563,-30.4375,5.125,12.25
1531207358572,-30.1875,4.8125,12.3125
1531207358582,-30.4375,4.6875,12.75
1531207358592,-30.5625,5.0,12.75
1531207358602,-30.3125,5.0,12.5625
1531207358612,-30.625,5.5625,12.75
1531207358622,-30.875,6.0625,12.4375
1531207358632,-30.625,6.5,12.4375
1531207358642,-30.625,6.625,12.75
1531207358652,-30.75,6.5,13.0
1531207358664,-31.0625,6.0625,13.0
1531207358672,-31.1875,5.75,13.0
1531207358682,-31.1875,5.875,12.5625
1531207358692,-31.4375,6.0625,12.25
1531207358702,-31.625,6.1875,12.25
1531207358712,-31.3125,6.375,12.0
1531207358722,-31.1875,6.5,12.4375
1531207358732,-31.625,6.375,12.5625
1531207358742,-31.3125,6.375,12.5625
1531207358752,-31.3125,6.625,12.6875
1531207358762,-31.1875,6.8125,13.1875
1531207358772,-31.1875,6.9375,13.3125
1531207358782,-30.75,6.9375,13.625
1531207358792,-30.9375,6.8125,13.4375
1531207358802,-30.75,6.625,13.3125
1531207358812,-30.9375,6.8125,12.75
1531207358822,-31.0625,6.9375,12.25
1531207358832,-31.0625,6.9375,12.0
1531207358842,-31.3125,7.125,12.25
1531207358852,-31.75,7.125,12.5625
1531207358862,-31.5,6.8125,13.0
1531207358872,-31.0625,6.625,13.625
1531207358882,-31.0625,7.125,13.3125
1531207358892,-30.75,6.9375,13.4375
1531207358902,-30.5,6.9375,13.1875
1531207358912,-30.9375,7.375,13.0
1531207358922,-31.375,7.375,12.4375
1531207358932,-31.625,7.25,12.875
1531207358942,-31.5,7.375,12.4375
1531207358952,-31.625,7.4375,12.4375
1531207358962,-31.625,6.9375,12.25
1531207358972,-31.5,7.125,12.4375
1531207358982,-31.75,7.125,12.125
1531207358992,-31.625,7.125,12.4375
1531207359002,-31.5,6.9375,12.4375
1531207359012,-31.375,7.5625,12.5625
1531207359022,-31.0625,7.6875,12.6875
1531207359032,-30.375,7.8125,13.1875
1531207359042,-30.8125,7.8125,13.0
1531207359052,-30.8125,8.3125,13.0
1531207359062,-30.8125,8.0,12.875
1531207359072,-31.5,7.875,12.5625
1531207359082,-31.625,7.6875,12.5625
1531207359092,-31.0625,7.8125,12.5625
